turn_id,pause_index,p_eot
hi__000,0,0.4170
hi__000,1,0.4371
hi__000,2,0.4301
hi__001,0,0.4044
hi__001,1,0.4266
hi__002,0,0.4014
hi__003,0,0.4118
hi__004,0,0.4149
hi__005,0,0.4199
hi__005,1,0.3781
hi__006,0,0.4326
hi__006,1,0.4238
hi__006,2,0.4389
hi__007,0,0.4010
hi__007,1,0.4129
hi__007,2,0.4169
hi__007,3,0.4040
hi__007,4,0.4356
hi__007,5,0.3952
hi__008,0,0.4268
hi__009,0,0.4294
hi__010,0,0.4073
hi__010,1,0.4391
hi__010,2,0.3858
hi__010,3,0.4257
hi__011,0,0.3790
hi__011,1,0.4406
hi__011,2,0.4149
hi__012,0,0.4111
hi__012,1,0.4317
hi__012,2,0.4174
hi__012,3,0.4274
hi__012,4,0.4004
hi__012,5,0.4299
hi__013,0,0.4064
hi__014,0,0.3946
hi__014,1,0.4136
hi__014,2,0.4025
hi__014,3,0.4070
hi__014,4,0.4065
hi__014,5,0.4108
hi__015,0,0.3910
hi__016,0,0.4013
hi__017,0,0.4043
hi__017,1,0.4114
hi__018,0,0.4090
hi__018,1,0.4009
hi__018,2,0.4266
hi__019,0,0.4497
hi__019,1,0.4140
hi__019,2,0.4112
hi__019,3,0.4160
hi__019,4,0.4264
hi__020,0,0.3869
hi__020,1,0.3967
hi__021,0,0.3892
hi__022,0,0.4114
hi__022,1,0.4110
hi__022,2,0.4227
hi__022,3,0.4306
hi__022,4,0.4141
hi__022,5,0.3942
hi__022,6,0.4086
hi__022,7,0.4025
hi__023,0,0.4096
hi__024,0,0.4103
hi__025,0,0.4004
hi__025,1,0.4012
hi__025,2,0.4166
hi__026,0,0.4306
hi__027,0,0.3896
hi__027,1,0.4486
hi__028,0,0.4044
hi__028,1,0.3872
hi__029,0,0.4122
hi__029,1,0.4055
hi__029,2,0.3819
hi__029,3,0.3968
hi__030,0,0.4056
hi__031,0,0.3750
hi__031,1,0.4082
hi__032,0,0.4099
hi__032,1,0.4007
hi__033,0,0.4372
hi__033,1,0.3986
hi__033,2,0.4179
hi__034,0,0.4272
hi__034,1,0.3990
hi__034,2,0.4011
hi__035,0,0.4212
hi__036,0,0.4338
hi__036,1,0.4031
hi__036,2,0.3836
hi__036,3,0.4168
hi__036,4,0.4060
hi__036,5,0.4089
hi__036,6,0.4112
hi__037,0,0.4221
hi__037,1,0.4033
hi__037,2,0.3768
hi__038,0,0.3818
hi__038,1,0.4252
hi__038,2,0.4331
hi__038,3,0.4277
hi__039,0,0.4232
hi__040,0,0.4057
hi__040,1,0.4340
hi__040,2,0.3897
hi__041,0,0.4153
hi__041,1,0.3963
hi__042,0,0.4195
hi__042,1,0.4308
hi__043,0,0.4240
hi__043,1,0.4372
hi__044,0,0.4168
hi__044,1,0.4346
hi__045,0,0.3858
hi__045,1,0.3943
hi__046,0,0.4416
hi__046,1,0.4180
hi__046,2,0.3997
hi__047,0,0.4095
hi__048,0,0.4079
hi__049,0,0.3794
hi__050,0,0.4121
hi__051,0,0.4285
hi__051,1,0.4473
hi__051,2,0.4095
hi__052,0,0.3922
hi__053,0,0.4334
hi__053,1,0.4375
hi__053,2,0.4507
hi__054,0,0.4407
hi__054,1,0.4005
hi__055,0,0.4006
hi__055,1,0.4491
hi__056,0,0.3934
hi__057,0,0.4244
hi__057,1,0.4152
hi__058,0,0.4151
hi__058,1,0.3788
hi__059,0,0.4395
hi__059,1,0.4080
hi__059,2,0.4135
hi__060,0,0.4077
hi__060,1,0.4024
hi__061,0,0.4334
hi__061,1,0.3795
hi__062,0,0.4177
hi__063,0,0.4115
hi__063,1,0.4236
hi__063,2,0.3997
hi__063,3,0.4085
hi__064,0,0.4140
hi__064,1,0.4462
hi__064,2,0.3961
hi__064,3,0.4347
hi__064,4,0.3963
hi__065,0,0.3879
hi__066,0,0.4376
hi__066,1,0.4423
hi__066,2,0.4163
hi__067,0,0.4369
hi__068,0,0.3969
hi__069,0,0.3993
hi__069,1,0.4066
hi__069,2,0.3915
hi__069,3,0.3753
hi__069,4,0.4278
hi__069,5,0.3913
hi__070,0,0.4082
hi__070,1,0.4171
hi__071,0,0.4339
hi__071,1,0.3722
hi__071,2,0.3892
hi__072,0,0.4301
hi__072,1,0.4126
hi__073,0,0.4200
hi__073,1,0.3977
hi__073,2,0.4154
hi__073,3,0.4355
hi__073,4,0.3985
hi__073,5,0.4043
hi__074,0,0.4156
hi__074,1,0.4181
hi__075,0,0.4082
hi__075,1,0.3986
hi__076,0,0.3998
hi__077,0,0.3944
hi__077,1,0.4008
hi__077,2,0.3865
hi__078,0,0.3804
hi__078,1,0.4361
hi__078,2,0.4076
hi__078,3,0.3923
hi__079,0,0.4294
hi__079,1,0.4131
hi__079,2,0.4061
hi__080,0,0.4135
hi__080,1,0.4146
hi__081,0,0.4039
hi__081,1,0.4196
hi__081,2,0.4392
hi__082,0,0.4042
hi__083,0,0.3986
hi__084,0,0.4033
hi__085,0,0.4092
hi__085,1,0.4160
hi__085,2,0.4008
hi__086,0,0.4016
hi__086,1,0.3919
hi__087,0,0.4255
hi__087,1,0.4321
hi__087,2,0.3948
hi__088,0,0.4127
hi__088,1,0.4408
hi__088,2,0.4094
hi__089,0,0.3850
hi__089,1,0.4360
hi__089,2,0.4028
hi__090,0,0.4030
hi__090,1,0.4450
hi__090,2,0.4295
hi__090,3,0.3907
hi__091,0,0.3960
hi__092,0,0.4137
hi__093,0,0.4373
hi__094,0,0.3970
hi__094,1,0.3841
hi__094,2,0.3753
hi__094,3,0.3910
hi__094,4,0.4005
hi__094,5,0.4140
hi__095,0,0.4245
hi__095,1,0.3996
hi__096,0,0.4030
hi__096,1,0.4354
hi__096,2,0.4275
hi__096,3,0.4127
hi__097,0,0.4023
hi__097,1,0.4320
hi__097,2,0.4197
hi__097,3,0.4121
hi__097,4,0.4052
hi__097,5,0.4021
hi__098,0,0.4247
hi__099,0,0.4024
hi__099,1,0.3746
