turn_id,pause_index,p_eot
en__000,0,0.4092
en__000,1,0.4273
en__000,2,0.4309
en__000,3,0.3830
en__001,0,0.4174
en__001,1,0.3900
en__002,0,0.4279
en__002,1,0.4237
en__002,2,0.4404
en__002,3,0.4336
en__002,4,0.4132
en__002,5,0.4200
en__002,6,0.3735
en__003,0,0.3825
en__004,0,0.4368
en__004,1,0.3788
en__005,0,0.4423
en__005,1,0.3782
en__006,0,0.4344
en__006,1,0.4260
en__006,2,0.3848
en__007,0,0.4414
en__007,1,0.4208
en__007,2,0.4190
en__007,3,0.4247
en__007,4,0.4130
en__007,5,0.4152
en__007,6,0.4107
en__008,0,0.4351
en__008,1,0.3678
en__008,2,0.4350
en__008,3,0.3989
en__009,0,0.3817
en__010,0,0.4324
en__010,1,0.3735
en__011,0,0.3876
en__012,0,0.4416
en__012,1,0.4165
en__012,2,0.4374
en__013,0,0.3760
en__014,0,0.4476
en__014,1,0.3876
en__015,0,0.4348
en__015,1,0.3831
en__016,0,0.4168
en__016,1,0.4404
en__016,2,0.3918
en__017,0,0.4316
en__017,1,0.3945
en__018,0,0.4395
en__018,1,0.4241
en__018,2,0.4191
en__018,3,0.4219
en__018,4,0.4240
en__018,5,0.3812
en__019,0,0.3850
en__020,0,0.4490
en__020,1,0.4361
en__020,2,0.3821
en__021,0,0.3810
en__022,0,0.4254
en__022,1,0.3815
en__023,0,0.4277
en__023,1,0.4405
en__023,2,0.3836
en__024,0,0.4323
en__024,1,0.4240
en__024,2,0.3763
en__025,0,0.3807
en__026,0,0.4075
en__027,0,0.4024
en__027,1,0.3833
en__028,0,0.4278
en__028,1,0.3746
en__029,0,0.4454
en__029,1,0.4246
en__029,2,0.3836
en__030,0,0.4235
en__030,1,0.3902
en__030,2,0.4252
en__030,3,0.4275
en__030,4,0.3882
en__031,0,0.3824
en__032,0,0.4271
en__032,1,0.3898
en__033,0,0.3800
en__034,0,0.3850
en__034,1,0.3781
en__035,0,0.4342
en__035,1,0.3958
en__035,2,0.3852
en__036,0,0.4532
en__036,1,0.3889
en__036,2,0.3843
en__037,0,0.4266
en__037,1,0.4466
en__037,2,0.4219
en__037,3,0.3882
en__038,0,0.4259
en__038,1,0.4568
en__038,2,0.4132
en__038,3,0.3892
en__039,0,0.4333
en__039,1,0.4403
en__039,2,0.3786
en__040,0,0.3849
en__041,0,0.3815
en__042,0,0.4545
en__042,1,0.4264
en__042,2,0.4118
en__042,3,0.4196
en__042,4,0.3778
en__043,0,0.3693
en__044,0,0.4424
en__044,1,0.4304
en__044,2,0.3789
en__045,0,0.4292
en__045,1,0.4269
en__046,0,0.4343
en__046,1,0.4276
en__046,2,0.3710
en__047,0,0.4082
en__048,0,0.3837
en__048,1,0.3791
en__049,0,0.4407
en__049,1,0.4428
en__049,2,0.4007
en__049,3,0.4265
en__049,4,0.3996
en__050,0,0.3758
en__051,0,0.4500
en__051,1,0.4299
en__051,2,0.3892
en__052,0,0.4354
en__052,1,0.4460
en__052,2,0.3837
en__053,0,0.4096
en__053,1,0.3795
en__054,0,0.4256
en__054,1,0.3941
en__055,0,0.3871
en__056,0,0.3827
en__057,0,0.3868
en__058,0,0.4077
en__059,0,0.4533
en__059,1,0.3851
en__059,2,0.3883
en__060,0,0.3783
en__060,1,0.3822
en__061,0,0.4414
en__061,1,0.4221
en__061,2,0.4022
en__062,0,0.3781
en__063,0,0.4233
en__063,1,0.4027
en__064,0,0.4159
en__064,1,0.3741
en__065,0,0.3881
en__065,1,0.4250
en__065,2,0.3780
en__066,0,0.4221
en__066,1,0.3738
en__067,0,0.4042
en__067,1,0.4129
en__067,2,0.3725
en__068,0,0.4195
en__068,1,0.4479
en__068,2,0.4294
en__069,0,0.4314
en__069,1,0.3809
en__070,0,0.4253
en__070,1,0.4095
en__070,2,0.4282
en__070,3,0.4212
en__070,4,0.4210
en__070,5,0.4068
en__070,6,0.3696
en__071,0,0.4037
en__072,0,0.3742
en__073,0,0.4446
en__073,1,0.4230
en__074,0,0.3818
en__075,0,0.4092
en__076,0,0.3597
en__077,0,0.4296
en__077,1,0.4234
en__077,2,0.3815
en__078,0,0.3797
en__079,0,0.4096
en__079,1,0.3788
en__080,0,0.4193
en__080,1,0.4356
en__080,2,0.4281
en__080,3,0.4318
en__080,4,0.4313
en__080,5,0.3830
en__081,0,0.4543
en__081,1,0.4321
en__081,2,0.4275
en__081,3,0.4201
en__081,4,0.3872
en__082,0,0.4271
en__082,1,0.3632
en__083,0,0.4306
en__083,1,0.4363
en__083,2,0.3927
en__084,0,0.4026
en__085,0,0.3802
en__086,0,0.4491
en__086,1,0.4301
en__086,2,0.4268
en__087,0,0.3764
en__088,0,0.4345
en__088,1,0.3893
en__089,0,0.4271
en__089,1,0.4234
en__090,0,0.4282
en__090,1,0.4477
en__090,2,0.4269
en__090,3,0.3864
en__091,0,0.4077
en__091,1,0.4062
en__091,2,0.4338
en__091,3,0.4196
en__091,4,0.4188
en__091,5,0.4238
en__091,6,0.4264
en__091,7,0.3839
en__092,0,0.4439
en__092,1,0.3771
en__093,0,0.4380
en__093,1,0.4287
en__093,2,0.4139
en__093,3,0.4227
en__093,4,0.3770
en__094,0,0.4261
en__094,1,0.4187
en__095,0,0.4280
en__095,1,0.4235
en__095,2,0.4341
en__095,3,0.4237
en__095,4,0.4208
en__095,5,0.3836
en__096,0,0.3826
en__097,0,0.4276
en__097,1,0.3652
en__098,0,0.3768
en__099,0,0.3747
