turn_id,pause_index,p_eot
hi__000,0,0.1508
hi__000,1,0.3481
hi__000,2,0.5083
hi__001,0,0.4115
hi__001,1,0.4988
hi__002,0,0.5885
hi__003,0,0.3743
hi__004,0,0.5520
hi__005,0,0.2643
hi__005,1,0.5713
hi__006,0,0.3018
hi__006,1,0.4352
hi__006,2,0.3931
hi__007,0,0.3060
hi__007,1,0.3792
hi__007,2,0.2759
hi__007,3,0.2661
hi__007,4,0.2534
hi__007,5,0.5006
hi__008,0,0.4891
hi__009,0,0.6450
hi__010,0,0.3906
hi__010,1,0.3321
hi__010,2,0.3192
hi__010,3,0.5198
hi__011,0,0.3290
hi__011,1,0.4444
hi__011,2,0.5261
hi__012,0,0.2496
hi__012,1,0.2970
hi__012,2,0.3671
hi__012,3,0.3385
hi__012,4,0.3499
hi__012,5,0.6437
hi__013,0,0.5433
hi__014,0,0.2319
hi__014,1,0.4033
hi__014,2,0.3339
hi__014,3,0.2875
hi__014,4,0.3184
hi__014,5,0.6171
hi__015,0,0.5162
hi__016,0,0.5741
hi__017,0,0.3235
hi__017,1,0.3591
hi__018,0,0.3596
hi__018,1,0.4563
hi__018,2,0.5172
hi__019,0,0.3143
hi__019,1,0.2363
hi__019,2,0.3703
hi__019,3,0.2845
hi__019,4,0.2883
hi__020,0,0.3802
hi__020,1,0.5900
hi__021,0,0.6681
hi__022,0,0.2135
hi__022,1,0.4020
hi__022,2,0.3457
hi__022,3,0.3177
hi__022,4,0.2455
hi__022,5,0.6108
hi__022,6,0.5727
hi__022,7,0.6648
hi__023,0,0.5313
hi__024,0,0.5472
hi__025,0,0.3381
hi__025,1,0.3742
hi__025,2,0.4291
hi__026,0,0.3036
hi__027,0,0.2529
hi__027,1,0.2788
hi__028,0,0.2510
hi__028,1,0.5434
hi__029,0,0.3792
hi__029,1,0.3645
hi__029,2,0.3633
hi__029,3,0.5256
hi__030,0,0.6567
hi__031,0,0.2559
hi__031,1,0.5409
hi__032,0,0.3407
hi__032,1,0.3557
hi__033,0,0.3142
hi__033,1,0.3677
hi__033,2,0.5673
hi__034,0,0.3870
hi__034,1,0.4009
hi__034,2,0.5968
hi__035,0,0.5538
hi__036,0,0.3379
hi__036,1,0.4001
hi__036,2,0.3852
hi__036,3,0.3430
hi__036,4,0.3474
hi__036,5,0.6329
hi__036,6,0.6240
hi__037,0,0.3153
hi__037,1,0.3615
hi__037,2,0.5680
hi__038,0,0.2111
hi__038,1,0.2285
hi__038,2,0.2443
hi__038,3,0.4154
hi__039,0,0.5194
hi__040,0,0.3138
hi__040,1,0.3433
hi__040,2,0.5580
hi__041,0,0.3682
hi__041,1,0.4313
hi__042,0,0.1943
hi__042,1,0.3690
hi__043,0,0.3469
hi__043,1,0.5176
hi__044,0,0.3037
hi__044,1,0.3867
hi__045,0,0.3521
hi__045,1,0.5580
hi__046,0,0.3213
hi__046,1,0.3101
hi__046,2,0.4830
hi__047,0,0.5670
hi__048,0,0.5511
hi__049,0,0.5739
hi__050,0,0.6066
hi__051,0,0.2616
hi__051,1,0.3475
hi__051,2,0.5777
hi__052,0,0.5154
hi__053,0,0.2553
hi__053,1,0.1598
hi__053,2,0.5510
hi__054,0,0.3167
hi__054,1,0.5495
hi__055,0,0.3845
hi__055,1,0.5736
hi__056,0,0.5462
hi__057,0,0.1742
hi__057,1,0.5317
hi__058,0,0.3673
hi__058,1,0.4997
hi__059,0,0.3391
hi__059,1,0.3714
hi__059,2,0.5288
hi__060,0,0.4438
hi__060,1,0.5816
hi__061,0,0.3553
hi__061,1,0.5997
hi__062,0,0.5568
hi__063,0,0.1956
hi__063,1,0.2022
hi__063,2,0.3080
hi__063,3,0.4017
hi__064,0,0.3092
hi__064,1,0.3210
hi__064,2,0.3835
hi__064,3,0.3091
hi__064,4,0.4023
hi__065,0,0.5998
hi__066,0,0.3359
hi__066,1,0.2902
hi__066,2,0.3779
hi__067,0,0.3277
hi__068,0,0.5886
hi__069,0,0.4222
hi__069,1,0.3635
hi__069,2,0.2529
hi__069,3,0.1728
hi__069,4,0.2686
hi__069,5,0.6187
hi__070,0,0.3250
hi__070,1,0.4724
hi__071,0,0.3379
hi__071,1,0.3480
hi__071,2,0.5580
hi__072,0,0.3184
hi__072,1,0.4985
hi__073,0,0.2629
hi__073,1,0.3609
hi__073,2,0.3749
hi__073,3,0.3343
hi__073,4,0.2245
hi__073,5,0.5671
hi__074,0,0.3020
hi__074,1,0.3147
hi__075,0,0.3143
hi__075,1,0.5507
hi__076,0,0.5301
hi__077,0,0.3395
hi__077,1,0.2574
hi__077,2,0.5435
hi__078,0,0.3317
hi__078,1,0.3197
hi__078,2,0.3379
hi__078,3,0.4889
hi__079,0,0.2619
hi__079,1,0.2553
hi__079,2,0.5992
hi__080,0,0.2117
hi__080,1,0.5001
hi__081,0,0.3032
hi__081,1,0.3338
hi__081,2,0.5316
hi__082,0,0.5435
hi__083,0,0.5008
hi__084,0,0.5587
hi__085,0,0.4074
hi__085,1,0.3145
hi__085,2,0.5293
hi__086,0,0.3098
hi__086,1,0.5413
hi__087,0,0.3406
hi__087,1,0.2906
hi__087,2,0.5843
hi__088,0,0.3401
hi__088,1,0.2975
hi__088,2,0.5209
hi__089,0,0.3356
hi__089,1,0.3661
hi__089,2,0.5587
hi__090,0,0.2486
hi__090,1,0.2772
hi__090,2,0.3110
hi__090,3,0.5788
hi__091,0,0.5506
hi__092,0,0.5545
hi__093,0,0.5030
hi__094,0,0.3129
hi__094,1,0.4111
hi__094,2,0.3788
hi__094,3,0.3779
hi__094,4,0.2543
hi__094,5,0.5235
hi__095,0,0.3006
hi__095,1,0.5733
hi__096,0,0.3080
hi__096,1,0.4052
hi__096,2,0.4406
hi__096,3,0.5315
hi__097,0,0.3037
hi__097,1,0.4269
hi__097,2,0.3238
hi__097,3,0.3001
hi__097,4,0.3429
hi__097,5,0.6010
hi__098,0,0.5382
hi__099,0,0.3908
hi__099,1,0.5389
